date,Close,Bitcoin,Blockchain,Crypto,Cryptocurrency,Economy,Ethereum,Gold,Market,NFT,,,,,,,,
27/03/16,426.765015,0.145127698,1.994372627,0.267953691,0.221308261,28.87037349,0.85868865,13.19039217,16.61036344,0.229441261,,,,,,,,
28/03/16,424.230988,0.145127698,2.105171107,0.248814142,0.318130626,40.8921769,1.567106786,7.988657873,11.92037847,0.229441261,,,,,,,,
29/03/16,416.515991,0.241879497,4.099543734,0.382790987,0.456448289,48.9067125,1.309500191,11.45648074,7.230393498,0.229441261,,,,,,,,
30/03/16,414.81601,0.338631296,4.431939172,0.382790987,0.26280356,50.9103464,1.137762461,7.121702157,7.230393498,0.271930383,,,,,,,,
31/03/16,416.729004,0.241879497,6.093916361,0.459349184,0.373457691,46.9030786,1.245098542,7.121702157,8.01205766,0.348410803,,,,,,,,
01/04/16,417.959991,0.096751799,4.099543734,0.344511888,0.331962392,37.88672604,0.923090299,8.855613588,11.13871431,0.169956489,,,,,,,,
02/04/16,420.872986,0.096751799,2.880760462,0.30623279,0.325046509,23.86128873,0.815754217,12.32343645,13.48370679,0.229441261,,,,,,,,
03/04/16,420.903992,0.096751799,1.218783272,0.334942114,0.338878275,35.88309214,1.008959164,10.58952502,17.3920276,0.123218455,,,,,,,,
04/04/16,421.444,0.193503597,3.877946775,0.210535043,0.373457691,52.9139803,0.815754217,8.855613588,8.01205766,0.229441261,,,,,,,,
05/04/16,424.029999,0.290255396,6.537110278,0.344511888,0.463364172,57.92306506,0.815754217,7.988657873,8.01205766,0.250685822,,,,,,,,
06/04/16,423.412994,0.241879497,5.872319403,0.583756255,0.387289458,52.9139803,0.815754217,7.988657873,11.13871431,0.174205402,,,,,,,,
07/04/16,422.744995,0.193503597,3.767148296,0.459349184,0.311214743,54.9176142,0.85868865,6.254746441,7.230393498,0.186952138,,,,,,,,
08/04/16,420.348999,0.145127698,3.2131559,0.411500311,0.497943588,44.8994447,0.837221434,5.387790725,8.793721822,0.216694524,,,,,,,,
09/04/16,419.411011,0.048375899,1.772775669,0.248814142,0.428784757,26.86673959,0.837221434,12.32343645,11.92037847,7.54758E-18,,,,,,,,
10/04/16,421.563995,0.145127698,2.215969586,0.172255944,0.290467093,36.88490909,1.03042638,7.988657873,9.575385984,0.15296084,,,,,,,,
11/04/16,422.483002,0.193503597,5.983117882,0.363651438,0.497943588,59.92669896,0.966024731,10.58952502,8.793721822,0.293174944,,,,,,,,
